廠商,贊助金額,贊助等級,使用組別
永傑,SS,SS,"電系, 車架"
接招行銷,SS,SS,全隊
締智創意,SS,SS,全隊
機械系,SS,SS,全隊
simens 西門子,"NT$20,000,000",SS,全隊
Ansys,"NT$1,040,000",SS,空力
創創,"NT$800,000",SS,全隊
嚴慶齡工業發展基金會,"NT$508,732",SS,全隊
欣欣龍,"NT$450,000",SS,傳動
昊易,"NT$390,001",SS,軟體
致茂,"NT$360,000",SS,"軟體, 電系"
ARRC,"NT$300,000",SS,全隊
RapidHarness Wire Harness Software,"NT$294,087",SS,電系
沃爾奇動力,S,S,"電系, 軟體"
Bossard(柏泰),,S,懸吊
bender,"NT$217,307",S,電系
mouser,"NT$200,000",S,"全隊, 電系, 軟體"
和和,"NT$162,734",S,車架
Hexagon,"NT$160,000",S,全隊
技嘉,"NT$155,237",S,全隊
柏釧,"NT$150,000",S,全隊
久大軸承,"NT$137,384",S,懸吊
信邦,"NT$110,000",S,"軟體, 電系"
Whirlpower,"NT$105,000",S,"全隊, 懸吊, 電系"
波蜜,"NT$100,000",S,全隊
建興儲存,"NT$100,000",S,全隊
達利鐵工廠,"NT$100,000",S,懸吊
龍泰,"NT$100,000",S,車架
永寬化學,"NT$100,000",S,全隊
三豐Mitutoyo,"NT$13,180",S,全隊
漢高,"NT$100,000",S,全隊
增你強,"NT$80,876",A,全隊
泓達,"NT$70,000",A,空力
Beltenick,"NT$68,500",A,車手
Frando,"NT$60,000",A,懸吊
Triple S,"NT$60,000",A,懸吊
台達電子,"NT$59,688",A,軟體
飛特複材,"NT$50,300",A,"車架, 空力"
Racingbro(銳欣),"NT$50,000",A,懸吊
朝澤,"NT$49,400",A,車架
大格化工,"NT$40,000",A,空力
kss,"NT$38,904",A,電系
福懋,"NT$34,700",A,空力
銀河製版,"NT$30,500",A,電系
樂泰,"NT$30,306",A,懸吊
佺盟,"NT$30,000",A,全隊
金財興,"NT$30,000",A,懸吊
恆展科技,"NT$30,000",A,全隊
台灣三住,"NT$25,000",A,懸吊
3D Mart,"NT$21,139",A,"全隊, 空力"
永匯豐,"NT$21,000",A,空力
思渤科技 Cybernet,"NT$20,000",A,空力
哥倫遊艇,"NT$20,000",A,空力
3d connexion,"NT$14,807",B,車架
寶工實業,"NT$12,160",B,電系
東野精機,"NT$8,000",B,車架
彰茂,"NT$8,000",B,車架
晟進,"NT$6,460",B,全隊
開心角鋼,"NT$5,670",B,車架
老牛皮,"NT$29,800",A,全隊
